query	qlen.bp	qtrans.aa	hit	hlen.aa
Cladocopium209035_c0_seq1	1688	285	sp|P14644|PDE4C_RAT	536
Cladocopium209051_c0_seq1	1478	131	sp|Q6DC39|DESI2_DANRE	196
Cladocopium209051_c0_seq2	1561	131	sp|Q6DC39|DESI2_DANRE	196
Cladocopium209051_c0_seq3	1446	158	sp|Q93VG8|PPDEX_ARATH	224
Cladocopium209051_c0_seq4	1584	158	sp|Q93VG8|PPDEX_ARATH	224
Cladocopium209051_c0_seq5	1423	131	sp|Q6DC39|DESI2_DANRE	196
Cladocopium209051_c0_seq6	1501	158	sp|Q93VG8|PPDEX_ARATH	224
Cladocopium209061_c0_seq1	1184	153	sp|Q8DIG8|IF3_THEEB	182
Cladocopium209072_c1_seq1	1049	207	sp|O75928|PIAS2_HUMAN	621
Cladocopium209082_c0_seq1	1512	322	sp|Q96CN4|EVI5L_HUMAN	794
Cladocopium209082_c0_seq2	1537	326	sp|Q96CN4|EVI5L_HUMAN	794
Cladocopium209133_c0_seq1	1325	249	sp|H2QL32|PDE9A_PANTR	593
Cladocopium209139_c0_seq1	3585	374	sp|Q9FHN8|KN14E_ARATH	1260
Cladocopium209139_c0_seq2	1789	130	sp|Q9Z2X3|PSD10_RAT	231
Cladocopium209139_c0_seq3	1821	160	sp|Q15327|ANKR1_HUMAN	319
Cladocopium209139_c0_seq4	3585	374	sp|Q9FHN8|KN14E_ARATH	1260
Cladocopium209139_c0_seq5	2104	374	sp|Q9FHN8|KN14E_ARATH	1260
Cladocopium209139_c0_seq6	1805	159	sp|Q9CR42|ANKR1_MOUSE	319
Cladocopium209139_c0_seq7	3569	374	sp|Q9FHN8|KN14E_ARATH	1260
Cladocopium209139_c0_seq8	3601	374	sp|Q9FHN8|KN14E_ARATH	1260
Cladocopium209148_c0_seq1	2452	361	sp|Q8BGT9|GLT12_MOUSE	576
Cladocopium209164_c0_seq1	1112	201	sp|P41129|RL132_BRANA	206
Cladocopium209164_c0_seq2	791	201	sp|P41129|RL132_BRANA	206
Cladocopium209164_c0_seq3	790	201	sp|P41129|RL132_BRANA	206
Cladocopium209177_c0_seq1	1765	484	sp|Q9FJL3|FKB65_ARATH	578
Cladocopium209210_c0_seq1	1378	372	sp|Q937N7|PRPF_CUPNE	396
Cladocopium209236_c0_seq1	1777	364	sp|Q5HZH7|S38A8_MOUSE	432
Cladocopium209239_c0_seq1	5460	379	sp|F4JTS8|NOV_ARATH	2729
Cladocopium209241_c0_seq1	10749	3465	sp|A0A1P8AUY4|MDN1_ARATH	5400
Cladocopium209241_c0_seq2	10850	3509	sp|Q12019|MDN1_YEAST	4910
Cladocopium209241_c0_seq3	1722	300	sp|A0A1P8AUY4|MDN1_ARATH	5400
Cladocopium209241_c0_seq4	1884	300	sp|A0A1P8AUY4|MDN1_ARATH	5400
Cladocopium209249_c2_seq1	1504	420	sp|P14735|IDE_HUMAN	1019
Cladocopium209249_c2_seq3	1560	343	sp|O22941|IDE1_ARATH	970
Cladocopium209269_c0_seq1	960	233	sp|Q5PP70|NTM1_ARATH	276
Cladocopium209289_c0_seq1	632	210	sp|P51327|FTSH_PORPU	628
Cladocopium209290_c0_seq1	1379	319	sp|Q8BLR9|HIF1N_MOUSE	349
Cladocopium209290_c0_seq2	1440	319	sp|Q8BLR9|HIF1N_MOUSE	349
Cladocopium209299_c0_seq1	3777	306	sp|D3YWJ0|SLIP_MOUSE	796
Cladocopium209299_c0_seq2	4073	306	sp|D3YWJ0|SLIP_MOUSE	796
Cladocopium209299_c0_seq3	3879	306	sp|D3YWJ0|SLIP_MOUSE	796
Cladocopium209301_c0_seq1	2000	141	sp|P46822|KLC_CAEEL	540
Cladocopium209301_c0_seq2	1769	141	sp|P46822|KLC_CAEEL	540
Cladocopium209301_c0_seq3	1958	141	sp|P46822|KLC_CAEEL	540
Cladocopium209301_c0_seq4	1694	141	sp|P46822|KLC_CAEEL	540
Cladocopium209301_c0_seq5	2253	141	sp|P46822|KLC_CAEEL	540
Cladocopium209301_c0_seq6	1780	141	sp|P46822|KLC_CAEEL	540
Cladocopium209301_c0_seq7	2002	141	sp|P46822|KLC_CAEEL	540
Cladocopium209301_c0_seq8	1989	141	sp|P46822|KLC_CAEEL	540
Cladocopium209301_c0_seq9	2264	141	sp|P46822|KLC_CAEEL	540
Cladocopium209301_c0_seq10	2284	141	sp|P46822|KLC_CAEEL	540
Cladocopium209301_c0_seq11	2044	141	sp|P46822|KLC_CAEEL	540
Cladocopium209301_c0_seq12	2033	141	sp|P46822|KLC_CAEEL	540
Cladocopium209301_c0_seq13	1749	141	sp|P46822|KLC_CAEEL	540
Cladocopium209301_c0_seq14	2020	141	sp|P46822|KLC_CAEEL	540
Cladocopium209301_c0_seq15	1725	141	sp|P46822|KLC_CAEEL	540
Cladocopium209301_c0_seq16	1738	141	sp|P46822|KLC_CAEEL	540
Cladocopium209301_c0_seq17	2031	141	sp|P46822|KLC_CAEEL	540
Cladocopium209301_c0_seq18	2013	141	sp|P46822|KLC_CAEEL	540
Cladocopium209301_c0_seq19	2295	141	sp|P46822|KLC_CAEEL	540
Cladocopium209301_c0_seq20	1989	141	sp|P46822|KLC_CAEEL	540
Cladocopium209308_c1_seq1	2237	566	sp|Q13608|PEX6_HUMAN	980
Cladocopium209318_c0_seq1	1114	312	sp|Q94EI9|PT314_ARATH	340
Cladocopium209321_c0_seq1	1734	311	sp|A2Y8E0|FENR1_ORYSI	362
Cladocopium209321_c0_seq2	1821	311	sp|A2Y8E0|FENR1_ORYSI	362
Cladocopium209321_c0_seq3	1383	310	sp|A2Y8E0|FENR1_ORYSI	362
Cladocopium209321_c0_seq4	710	124	sp|O23877|FENR3_ORYSJ	378
