isogroup426588	sp|Q8AV58|SDK1_CHICK	2e-09
isogroup1422	sp|Q07352|TISB_HUMAN	9e-41
isogroup74716	sp|Q80TY5|VP13B_MOUSE	2e-41
isogroup61303	sp|P61207|ARF3_TAKRU	7e-77
isogroup421074	sp|Q640F2|SHCBB_XENLA	1e-24
isogroup60459	sp|Q64259|VHL_RAT	1e-13
isogroup160231	sp|P05619|ILEU_HORSE	4e-21
isogroup95867	sp|Q8C1A9|ABD18_MOUSE	5e-101
isogroup229033	sp|Q25452|CAC1M_MUSDO	5e-05
isogroup39702	sp|Q5F389|WWOX_CHICK	3e-85
isogroup38715	sp|Q8VE65|TAF12_MOUSE	2e-57
isogroup147135	sp|Q25188|OAR_HELVI	3e-11
isogroup7524	sp|Q32LC7|G3BP1_BOVIN	7e-35
isogroup7063	sp|P52551|MYBB_XENLA	9e-90
isogroup250961	sp|O02751|CFDP2_BOVIN	3e-16
isogroup72756	sp|Q9H4G4|GAPR1_HUMAN	4e-25
isogroup75089	sp|Q4KLG9|ZFN2B_RAT	2e-61
isogroup243045	sp|Q9VJJ7|TRPG_DROME	6e-09
isogroup4221	sp|Q90744|NAGAB_CHICK	8e-150
isogroup270030	sp|A7E2V1|CEP76_DANRE	2e-20
isogroup98918	sp|Q6R520|CALM_OREMO	7e-55
isogroup173820	sp|P08548|LIN1_NYCCO	6e-14
isogroup639529	sp|Q05793|PGBM_MOUSE	4e-12
isogroup583020	sp|P0C7U4|C3AR_DANRE	3e-07
isogroup611308	sp|Q9P215|POGK_HUMAN	6e-10
isogroup173865	sp|Q4R684|AMZ2_MACFA	4e-14
isogroup385458	sp|A7SNN9|U553_NEMVE	5e-23
isogroup114256	sp|Q9H477|RBSK_HUMAN	4e-10
isogroup106803	sp|Q4R0J7|ARD1_UROFA	2e-38
isogroup284247	sp|Q8BMJ2|SYLC_MOUSE	5e-34
isogroup34392	sp|Q5ZMS6|TDRD3_CHICK	4e-57
isogroup6679	sp|Q6DDF0|WDR37_XENLA	2e-158
isogroup311386	sp|Q8NFZ3|NLGNY_HUMAN	2e-20
isogroup5454	sp|Q5BJT0|ARGL1_RAT	1e-09
isogroup130692	sp|Q61586|GPAT1_MOUSE	2e-16
isogroup30817	sp|Q6GR66|T10B_XENLA	3e-15
isogroup54510	sp|O08746|MATN2_MOUSE	5e-52
isogroup80132	sp|Q8NHS3|MFSD8_HUMAN	9e-12
isogroup280169	sp|P41386|TBB_HALDI	1e-47
isogroup54949	sp|A2Q898|MCR1_ASPNC	2e-25
isogroup4460	sp|Q8IYR2|SMYD4_HUMAN	5e-68
isogroup107576	sp|Q96PB1|CASD1_HUMAN	5e-25
isogroup86658	sp|Q4VSN1|DUSTY_DANRE	1e-08
isogroup121911	sp|O15439|MRP4_HUMAN	5e-51
isogroup50923	sp|Q7TS68|NSUN6_MOUSE	2e-137
isogroup48409	sp|Q9NX58|LYAR_HUMAN	3e-45
isogroup17476	sp|Q923D5|WBP11_MOUSE	4e-14
isogroup11764	sp|Q5H8C4|VP13A_MOUSE	3e-180
isogroup184004	sp|O60290|ZN862_HUMAN	2e-07
isogroup191311	sp|Q2PZL6|FAT4_MOUSE	4e-21
isogroup91143	sp|F1R983|CTIP_DANRE	7e-21
isogroup606914	sp|Q9UNY5|ZN232_HUMAN	2e-25
isogroup125495	sp|O02751|CFDP2_BOVIN	4e-52
isogroup24689	sp|A8DYE2|TRPCG_DROME	7e-18
isogroup51473	sp|A6H8T2|CASC1_DANRE	6e-70
isogroup67789	sp|Q3T1J2|MBOA2_RAT	4e-33
isogroup121682	sp|Q9QZE7|TSNAX_MOUSE	3e-36
isogroup72285	sp|Q06194|FA8_MOUSE	2e-21
isogroup62216	sp|A2AVA0|SVEP1_MOUSE	1e-45
isogroup42399	sp|Q5VW32|BROX_HUMAN	9e-138
isogroup112665	sp|Q499P8|RUS1_RAT	4e-73
isogroup265518	sp|P20825|POL2_DROME	2e-07
isogroup206542	sp|E2JA28|DDAC_ENTAG	3e-24
isogroup432448	sp|Q9QYS2|GRM3_MOUSE	5e-44
isogroup160358	sp|Q96AY4|TTC28_HUMAN	2e-10
isogroup136967	sp|B4LVU6|PDE6_DROVI	2e-112
isogroup129992	sp|Q6XD76|ASCL4_HUMAN	4e-15
isogroup80419	sp|P70562|BHA15_RAT	3e-12
isogroup75299	sp|Q8TD57|DYH3_HUMAN	2e-05
isogroup404088	sp|Q8K418|BRS3_RAT	1e-05
isogroup16609	sp|Q5R778|ACD11_PONAB	2e-154
isogroup403989	sp|P29476|NOS1_RAT	1e-22
isogroup112642	sp|Q96E11|RRFM_HUMAN	9e-26
isogroup77765	sp|Q1EG27|MYO3B_MOUSE	4e-49
isogroup259048	sp|Q68EI3|CBPC5_DANRE	2e-60
isogroup60634	sp|O93209|POL_FFV	7e-13
isogroup23386	sp|Q61554|FBN1_MOUSE	3e-97
isogroup18786	sp|Q9H0X9|OSBL5_HUMAN	1e-148
isogroup10925	sp|P62332|ARF6_RAT	4e-114
