query	qlen.bp	qtrans.aa	hit	hlen.aa
Mcavernosa26699-RA	1606	180	sp|B2RY56|RBM25_MOUSE	838
Mcavernosa26677-RA	2663	24	sp|P62859|RS28_RAT	69
Mcavernosa26717-RA	1164	346	sp|Q8BW75|AOFB_MOUSE	520
Mcavernosa26715-RA	2508	607	sp|Q9D2G9|HIPL2_MOUSE	717
Mcavernosa26710-RA	592	89	sp|P07087|ALPS_TACTR	102
Mcavernosa26711-RA	471	71	sp|P07086|ALPS_LIMPO	101
Mcavernosa26712-RA	1460	212	sp|C6BU87|MTNN_DESAD	231
Mcavernosa26721-RA	243	71	sp|P21397|AOFA_HUMAN	527
Mcavernosa26722-RA	600	68	sp|Q8BW75|AOFB_MOUSE	520
Mcavernosa26726-RA	1656	249	sp|Q06HQ7|PLB1_MONDO	1474
Mcavernosa26725-RA	1218	390	sp|P17247|TGFB2_XENLA	413
Mcavernosa26727-RA	594	99	sp|P84089|ERH_MOUSE	104
Mcavernosa26729-RA	203	67	sp|Q16667|CDKN3_HUMAN	212
Mcavernosa26730-RA	803	92	sp|P06582|HSP12_CAEEL	145
Mcavernosa26733-RA	2094	343	sp|P12643|BMP2_HUMAN	396
Mcavernosa26732-RA	2948	436	sp|Q9NRK6|ABCBA_HUMAN	738
Mcavernosa26736-RA	1202	245	sp|P87053|POF1_SCHPO	605
Mcavernosa26738-RA	943	290	sp|Q9TXJ0|CMK1_CAEEL	348
Mcavernosa26746-RA	610	121	sp|Q91821|MELK_XENLA	651
Mcavernosa26743-RA	1356	73	sp|Q9NS56|TOPRS_HUMAN	1045
Mcavernosa26740-RA	1075	334	sp|W0LYS5|CAMKI_MACNP	345
Mcavernosa26739-RA	408	47	sp|P79781|RS27A_CHICK	156
Mcavernosa26756-RA	783	44	sp|Q94887|NRX4_DROME	1284
Mcavernosa26755-RA	3108	1005	sp|Q8N2E2|VWDE_HUMAN	1590
Mcavernosa26752-RA	576	173	sp|P59511|ATS20_MOUSE	1906
Mcavernosa26750-RA	1740	238	sp|P42674|BP10_PARLI	597
Mcavernosa26747-RA	2045	548	sp|P0C6B8|SVEP1_RAT	3564
Mcavernosa26766-RA	1952	141	sp|Q62737|CY24A_RAT	192
Mcavernosa26761-RA	740	82	sp|Q60855|RIPK1_MOUSE	656
Mcavernosa26763-RA	3931	344	sp|Q5TJ56|FORF_DICDI	1220
Mcavernosa26757-RA	1075	133	sp|P49013|FBP3_STRPU	570
Mcavernosa26758-RA	753	123	sp|P25291|GP2_CANLF	509
Mcavernosa26770-RA	837	145	sp|Q13951|PEBB_HUMAN	182
Mcavernosa26767-RA	2325	374	sp|Q8R4E9|CDT1_MOUSE	557
Mcavernosa26768-RA	828	270	sp|Q0P6D2|DIK1C_HUMAN	419
Mcavernosa26769-RA	435	99	sp|Q0P6D2|DIK1C_HUMAN	419
Mcavernosa26777-RA	2555	278	sp|A7RRG3|AKTIP_NEMVE	297
Mcavernosa26779-RA	1836	546	sp|Q4V7Y7|KTNB1_XENLA	655
Mcavernosa26778-RA	2838	181	sp|A8E4L3|CH082_BOVIN	218
Mcavernosa26776-RA	1681	282	sp|A3KNI7|CCDB1_DANRE	344
Mcavernosa26782-RA	1053	334	sp|Q5XXP2|OPN4_PHOSU	469
Mcavernosa26789-RA	1527	484	sp|Q8BM89|ARSJ_MOUSE	598
Mcavernosa26788-RA	801	191	sp|Q6DJE4|CPSF5_XENLA	227
Mcavernosa26794-RA	1323	335	sp|Q9WTK3|GPAA1_MOUSE	621
Mcavernosa26793-RA	1374	379	sp|Q9WTK3|GPAA1_MOUSE	621
Mcavernosa26790-RA	1047	114	sp|Q9D0M3|CY1_MOUSE	325
Mcavernosa26785-RA	650	164	sp|Q3MIX3|ADCK5_HUMAN	580
Mcavernosa26787-RA	507	129	sp|Q80V03|ADCK5_MOUSE	582
Mcavernosa26795-RA	2060	186	sp|Q4V8B0|OXR1_RAT	839
Mcavernosa26802-RA	534	171	sp|Q96RW7|HMCN1_HUMAN	5635
Mcavernosa26806-RA	2764	199	sp|Q26627|SUREJ_STRPU	1450
Mcavernosa26804-RA	519	162	sp|P53767|VGFR1_RAT	1336
Mcavernosa26823-RA	516	143	sp|Q5R8Z6|MCFD2_PONAB	146
Mcavernosa26821-RA	771	177	sp|Q9VAI1|CIA30_DROME	296
Mcavernosa26813-RA	2199	286	sp|P24731|AN_NPVAC	419
Mcavernosa26807-RA	1833	513	sp|Q6IVV8|PKD2_DANRE	904
Mcavernosa26816-RA	1409	143	sp|A5PK74|RIOX1_BOVIN	667
Mcavernosa26815-RA	1325	156	sp|Q86W47|KCMB4_HUMAN	210
Mcavernosa26809-RA	610	196	sp|Q26627|SUREJ_STRPU	1450
Mcavernosa26817-RA	1317	267	sp|A3KP59|RIOX1_DANRE	544
Mcavernosa26820-RA	1184	96	sp|Q8K5B2|MCFD2_MOUSE	145
Mcavernosa26819-RA	459	79	sp|Q8K5B3|MCFD2_RAT	145
Mcavernosa26825-RA	1879	366	sp|Q4JIJ3|METH_BOVIN	1265
Mcavernosa26830-RA	1485	383	sp|Q28DN4|WASH1_XENTR	472
Mcavernosa26824-RA	1528	188	sp|D3YXG0|HMCN1_MOUSE	5634
Mcavernosa26832-RA	837	164	sp|P28648|CD63_RAT	238
Mcavernosa26840-RA	1593	326	sp|O08785|CLOCK_MOUSE	855
Mcavernosa26831-RA	729	65	sp|P53568|CEBPG_MOUSE	150
Mcavernosa26828-RA	2256	664	sp|Q4JIJ3|METH_BOVIN	1265
Mcavernosa26827-RA	656	59	sp|Q76LX8|ATS13_HUMAN	1427
Mcavernosa26839-RA	1791	379	sp|P97460|NPAS2_MOUSE	816
Mcavernosa26841-RA	1113	255	sp|Q9Y5X5|NPFF2_HUMAN	522
Mcavernosa26842-RA	216	46	sp|Q76KP1|B4GN4_HUMAN	1039
Mcavernosa26845-RA	2406	728	sp|F6U5F9|INTU_XENTR	953
Mcavernosa26844-RA	279	54	sp|Q76KP1|B4GN4_HUMAN	1039
Mcavernosa26843-RA	2089	234	sp|Q9QZA6|CD151_RAT	253
Mcavernosa26846-RA	729	230	sp|Q96CX2|KCD12_HUMAN	325
Mcavernosa26849-RA	3143	448	sp|Q8SQC1|SCRB1_PIG	509
Mcavernosa26851-RA	1155	164	sp|P56479|GALR1_MOUSE	348
Mcavernosa26848-RA	2633	316	sp|O35710|NOCT_MOUSE	429
Mcavernosa26861-RA	1225	318	sp|Q8JZV4|RBM41_MOUSE	413
Mcavernosa26863-RA	1155	366	sp|Q9Z2D5|NPY2R_CAVPO	381
Mcavernosa26858-RA	2155	641	sp|A7SNN5|PLK4_NEMVE	978
Mcavernosa26854-RA	4280	116	sp|Q5U317|FIP1_RAT	536
Mcavernosa26862-RA	1158	206	sp|Q924H0|NPFF2_MOUSE	417
Mcavernosa26860-RA	936	84	sp|Q92665|RT31_HUMAN	395
Mcavernosa26856-RA	1032	96	sp|O43897|TLL1_HUMAN	1013
Mcavernosa26864-RA	615	164	sp|O95620|DUS4L_HUMAN	317
