Cladocopium28002	sp|A0A0I9QGZ2|TKT_GEOSE	5e-127
Cladocopium54321	sp|Q9R053|SCNBA_MOUSE	3e-08
Cladocopium351145	sp|Q869Q0|Y4527_DICDI	2e-20
Cladocopium45617	sp|Q7XSQ5|CDPKC_ORYSJ	3e-05
Cladocopium188152	sp|P54144|AMT11_ARATH	3e-59
Mcavernosa13875	sp|Q5RJA1|RFX6_DANRE	7e-126
Cladocopium293578	sp|Q8CHG5|AREL1_MOUSE	7e-09
Cladocopium340154	sp|Q8RXE7|AGD14_ARATH	1e-23
Cladocopium86868	sp|P02719|SCNA_ELEEL	3e-11
Cladocopium64720	sp|Q9SIC9|PP178_ARATH	2e-25
Cladocopium317609	sp|P25694|CDC48_YEAST	1e-08
Cladocopium190703	sp|Q6FRT2|CCR4_CANGA	9e-11
Mcavernosa33401	sp|Q5SVZ6|ZMYM1_HUMAN	9e-45
Cladocopium296009	sp|Q4R8X1|ERGI3_MACFA	4e-28
Mcavernosa12298	sp|Q0VC33|TSN11_BOVIN	2e-17
Mcavernosa29661	sp|P23563|TNFA_PIG	5e-05
Cladocopium176919	sp|Q4IA62|PFA3_GIBZE	2e-11
Mcavernosa08566	sp|Q8K078|SO4A1_MOUSE	1e-59
Cladocopium207384	sp|Q54F46|WARA_DICDI	4e-05
Cladocopium117366	sp|Q8YDS2|LIVB5_BRUME	1e-10
Mcavernosa17099	sp|Q5U4K5|TM41B_XENLA	5e-59
Cladocopium208381	sp|Q4QQU7|GRTP1_RAT	7e-09
Cladocopium174486	sp|C0SPB2|YWTG_BACSU	8e-58
Cladocopium220243	sp|P93025|PHOT2_ARATH	8e-25
Cladocopium196362	sp|P22696|ESS1_YEAST	2e-10
Mcavernosa26363	sp|A2AX52|CO6A4_MOUSE	9e-10
Cladocopium272582	sp|P0C872|JMJD7_MOUSE	1e-17
Mcavernosa28090	sp|Q9Z1Z3|EPN2_RAT	4e-96
Mcavernosa26459	sp|Q9ZNW2|DES6_PHYPA	5e-91
Cladocopium238137	sp|A1L0Y2|NEUL4_XENTR	3e-19
Cladocopium42314	sp|Q5F364|MRP1_CHICK	1e-108
Cladocopium230456	sp|Q9P6P3|PPK15_SCHPO	2e-110
Cladocopium44194	sp|P38708|YHI0_YEAST	5e-177
Mcavernosa21619	sp|Q29R99|LIPT2_DANRE	4e-36
Cladocopium347273	sp|P37610|TAUD_ECOLI	1e-07
Cladocopium265932	sp|Q9DAK2|PACRG_MOUSE	2e-77
Cladocopium272953	sp|Q9SKP6|TPIC_ARATH	5e-51
Cladocopium272087	sp|Q1GRV0|Y1910_SPHAL	1e-06
Mcavernosa34467	sp|O17798|FKPC1_CAEEL	9e-48
Mcavernosa14703	sp|Q5R7T5|RNF41_PONAB	2e-31
Mcavernosa01864	sp|Q9CWZ7|SNAG_MOUSE	2e-23
Mcavernosa13566	sp|Q86US8|EST1A_HUMAN	5e-134
Mcavernosa16269	sp|Q8R0Z6|ANGL6_MOUSE	3e-05
Cladocopium212879	sp|Q2TSC7|PCS1_LOTJA	2e-07
Mcavernosa09230	sp|Q2EMV9|PAR14_MOUSE	2e-42
Mcavernosa13686	sp|H9JD76|TDRKH_BOMMO	4e-06
Mcavernosa00557	sp|Q27433|MEC2_CAEEL	2e-110
Cladocopium58046	sp|Q9LYN7|AML4_ARATH	5e-19
Mcavernosa28765	sp|Q5R4M2|ULK4_PONAB	2e-91
Mcavernosa11945	sp|B3EWZ6|MLRP2_ACRMI	6e-08
Mcavernosa10917	sp|Q5F359|TPPC5_CHICK	6e-63
Cladocopium292636	sp|Q8L9C4|KCR1_ARATH	7e-47
Mcavernosa05108	sp|Q805E5|CHSTE_DANRE	1e-72
Cladocopium283314	sp|O22899|PRP43_ARATH	2e-103
Mcavernosa08271	sp|Q7TSF2|VGLU3_RAT	1e-50
Mcavernosa19346	sp|P06214|HEM2_RAT	3e-17
Cladocopium229801	sp|Q8S9J2|SYYC1_ARATH	2e-114
Cladocopium296377	sp|Q6A051|ATRN1_MOUSE	4e-09
Cladocopium294951	sp|P34548|SQV3_CAEEL	8e-26
Mcavernosa03461	sp|Q8WXI4|ACO11_HUMAN	3e-141
Mcavernosa01426	sp|Q9GKT2|FXDC2_MACFA	6e-121
Cladocopium340966	sp|Q9C0G6|DYH6_HUMAN	6e-72
Cladocopium6852	sp|Q5AR04|MANF_EMENI	4e-06
Mcavernosa12192	sp|P15771|NUCL_CHICK	6e-24
Cladocopium182478	sp|Q9LR78|BSU1_ARATH	5e-57
Cladocopium44821	sp|F4JEI8|NAP1D_ARATH	4e-14
Cladocopium305366	sp|Q968X7|PNO_CRYPV	2e-82
Cladocopium282955	sp|Q9SLG9|PI5K5_ARATH	4e-16
Mcavernosa30847	sp|Q8CHB8|TTLL5_MOUSE	2e-81
Cladocopium109609	sp|Q7RJG2|CDPK4_PLAYO	5e-49
