query	qlen.bp	qtrans.aa	hit	hlen.aa
comp394632_c0_seq1	204	44	sp|Q8IUX7|AEBP1_HUMAN	1158
comp394040_c0_seq1	392	114	sp|P9WPL9|CP140_MYCTU	438
comp393845_c0_seq1	317	64	sp|Q96DM1|PGBD4_HUMAN	585
comp445091_c0_seq1	212	69	sp|Q8RY89|PI5K8_ARATH	769
comp441680_c0_seq1	230	71	sp|Q2R637|P2C75_ORYSJ	432
comp411330_c0_seq1	292	93	sp|E6ZHJ8|FXL15_DICLA	292
comp429823_c0_seq1	299	94	sp|P11914|MPPA_YEAST	482
comp403749_c0_seq1	244	71	sp|P13444|METK1_RAT	397
comp398622_c0_seq1	223	72	sp|Q6PDJ1|CAHD1_MOUSE	1288
comp391200_c0_seq1	451	144	sp|Q90703|NOS2_CHICK	1136
comp417297_c0_seq1	309	75	sp|P08548|LIN1_NYCCO	1260
comp378611_c0_seq1	213	35	sp|A2VE15|FADS6_BOVIN	342
comp423228_c0_seq1	359	116	sp|Q6IV68|FACD2_RAT	1451
comp406897_c0_seq1	395	100	sp|O74976|FAT2_SCHPO	512
comp414167_c0_seq1	204	51	sp|Q29RU2|OIT3_BOVIN	547
comp410838_c0_seq1	226	57	sp|P13682|ZNF35_HUMAN	527
comp408627_c0_seq1	202	66	sp|P20825|POL2_DROME	1059
comp388368_c0_seq1	218	71	sp|Q6PDJ1|CAHD1_MOUSE	1288
comp409788_c0_seq1	203	65	sp|Q8UVJ7|CDHR1_CHICK	865
comp383335_c0_seq1	311	99	sp|A5JSS2|RL21_CAPHI	160
comp385825_c0_seq2	653	152	sp|Q8VWF5|AML5_ARATH	800
comp438918_c0_seq1	226	48	sp|P43490|NAMPT_HUMAN	491
comp425358_c0_seq1	441	125	sp|Q6AZB8|HARB1_DANRE	349
comp418458_c0_seq1	238	48	sp|Q9NXR8|ING3_HUMAN	418
comp424281_c0_seq1	268	50	sp|Q8HXB8|RL29_MACFA	157
comp433887_c0_seq1	364	95	sp|O00311|CDC7_HUMAN	574
comp408727_c0_seq1	217	72	sp|Q6ZC69|KAD2_ORYSJ	290
comp406273_c0_seq1	218	72	sp|A9NFK6|GLGA_ACHLI	478
comp427971_c0_seq1	328	55	sp|Q98SN7|WNT2B_CHICK	385
comp414340_c0_seq1	323	103	sp|Q5ATG8|APDA_EMENI	3930
comp393824_c0_seq1	216	72	sp|Q86H13|PDE4_DICDI	1039
comp422686_c0_seq1	213	66	sp|Q9D2L5|CPXM2_MOUSE	764
comp449336_c0_seq1	384	114	sp|A0CUB5|PP2C5_PARTE	295
comp399392_c0_seq1	241	77	sp|O95198|KLHL2_HUMAN	593
comp434627_c0_seq1	450	136	sp|Q7Z407|CSMD3_HUMAN	3707
comp378022_c0_seq1	354	104	sp|Q9Z0T6|PKDRE_MOUSE	2126
comp401631_c0_seq1	370	93	sp|Q5QD11|TAA7B_MOUSE	358
comp393376_c0_seq1	245	78	sp|P30680|SSR2_RAT	369
comp427984_c0_seq1	284	93	sp|Q5QJ74|TBCEL_HUMAN	424
comp402863_c0_seq2	251	67	sp|P58307|OX1R_MOUSE	416
comp402047_c0_seq1	257	85	sp|Q91Z92|B3GT6_MOUSE	325
comp426293_c0_seq1	253	58	sp|Q9Y5K1|SPO11_HUMAN	396
comp421604_c0_seq1	398	115	sp|E7F6F9|KLHL3_DANRE	601
comp387260_c0_seq1	302	99	sp|Q6DCE8|CTR2_XENLA	622
