Mcavernosa25916	Grap2 and cyclin-D-interacting
Mcavernosa16418	DNA (cytosine-5-)-methyltransferase activity
Mcavernosa13875	pancreatic epsilon cell differentiation
Mcavernosa30988	Furin-like repeats
Mcavernosa03756	Rap guanyl-nucleotide exchange factor activity
Mcavernosa08049	UDP-N-acetylglucosamine catabolic process
Mcavernosa07744	structural constituent of cuticle
Mcavernosa31896	ribosomal protein S18B
Mcavernosa22402	regulation of cell cycle
Mcavernosa33750	translation Initiation Factor
Mcavernosa02657	Reticulon 4 interacting protein 1
Mcavernosa24853	Nidogen-like
Mcavernosa04218	Notch signaling pathway
Mcavernosa12004	ATP binding
Mcavernosa24673	serine-type endopeptidase activity
Mcavernosa24290	L-alpha-amino acid transmembrane transport
Mcavernosa20458	Pyridoxal-phosphate dependent enzyme
Mcavernosa33401	-
Mcavernosa18165	calcium-dependent cysteine-type endopeptidase activity
Mcavernosa10946	NLS-bearing protein import into nucleus
Mcavernosa14084	AMP-binding enzyme C-terminal domain
Mcavernosa25086	homophilic cell adhesion via plasma membrane adhesion molecules
Mcavernosa34457	negative regulation of glucocorticoid receptor signaling pathway
Mcavernosa12298	CD151 molecule (Raph blood group)
Mcavernosa04794	tRNA binding
Mcavernosa08566	sodium-independent organic anion transmembrane transporter activity
Mcavernosa16509	Transmembrane protein 168
Mcavernosa07125	deoxyribose-phosphate aldolase activity
Mcavernosa17099	transmembrane protein 41B
Mcavernosa09451	Pericentriolar material 1
Mcavernosa04941	Putative transmembrane protein
Mcavernosa14579	Armadillo repeat containing 2
Mcavernosa28090	ENTH domain
Mcavernosa26459	unsaturated fatty acid biosynthetic process
Mcavernosa03817	regulation of Wnt signaling pathway
Mcavernosa23141	MAM domain, meprin/A5/mu
Mcavernosa09585	Chromosome 20 open reading frame 194
Mcavernosa16481	sodium potassium-transporting ATPase subunit
Mcavernosa27434	snRNA modification
Mcavernosa13303	Histone deacetylase complex subunit SAP130
Mcavernosa10079	DNA topoisomerase 1
Mcavernosa21619	octanoyl transferase activity (acting on glycine-cleavage complex H protein)
Mcavernosa09208	protein kinase activator activity
Mcavernosa12958	nuclear protein quality control by the ubiquitin-proteasome system
Mcavernosa18285	mRNA cleavage involved in gene silencing by miRNA
Mcavernosa29427	Endoplasmic reticulum protein ERp29, C-terminal domain
Mcavernosa15925	Vitamin k-dependent gamma-carboxylase
Mcavernosa20039	activation of MAPKK activity
Mcavernosa34467	Belongs to the peptidase S8 family
Mcavernosa14703	TNF receptor-associated factor
Mcavernosa03807	Ral guanine nucleotide dissociation stimulator,-like 1
Mcavernosa22580	T-complex-associated testis-expressed protein 1
Mcavernosa01864	soluble NSF attachment protein activity
Mcavernosa01576	A Receptor for Ubiquitination Targets
Mcavernosa13566	nonsense mediated mRNA decay factor
Mcavernosa31094	Interleukin enhancer-binding factor 2
Mcavernosa09362	Zic family member 5 (odd-paired homolog, Drosophila)
Mcavernosa16153	motor activity
Mcavernosa09230	positive regulation of interleukin-4-mediated signaling pathway
Mcavernosa07663	drug:proton antiporter activity
Mcavernosa12808	It is involved in the biological process described with carbohydrate metabolic process
Mcavernosa26665	magnesium ion binding
Mcavernosa22157	Cupin-like domain
Mcavernosa28765	regulation of protein kinase C signaling
Mcavernosa33523	intracellular distribution of mitochondria
Mcavernosa00557	regulation of acid-sensing ion channel activity
Mcavernosa06355	peptidyl-pyrromethane cofactor linkage
Mcavernosa11945	negative regulation of synapse assembly
Mcavernosa31935	endoplasmic reticulum-plasma membrane tethering
Mcavernosa14934	peptidyl-prolyl cis-trans isomerase activity
Mcavernosa24069	LON peptidase N-terminal domain and RING finger
Mcavernosa10917	Golgi vesicle transport
Mcavernosa13675	Guanine deaminase
Mcavernosa34297	DNA binding
Mcavernosa05108	N-acetylgalactosamine 4-O-sulfotransferase activity
Mcavernosa07376	transcription initiation from RNA polymerase III promoter
Mcavernosa19346	porphobilinogen synthase activity
Mcavernosa16791	positive regulation of SREBP signaling pathway
Mcavernosa08271	It is involved in the biological process described with transmembrane transport
Mcavernosa34624	hemangioblast cell differentiation
Mcavernosa22812	Calcium ion binding. It is involved in the biological process described with protein folding
Mcavernosa26052	Cytochrome P450, family 46, subfamily A, polypeptide
Mcavernosa28005	Ion transport protein
Mcavernosa31393	initiation of neural tube closure
Mcavernosa03461	acetyl-CoA hydrolase activity
Mcavernosa09839	protein tyrosine/serine/threonine phosphatase activity
Mcavernosa04229	Macro domain
Mcavernosa26443	Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain
Mcavernosa01426	Belongs to the sterol desaturase family
Mcavernosa27444	nuclear fragile X mental
Mcavernosa11845	5-methyltetrahydrofolate-homocysteine methyltransferase reductase
Mcavernosa26268	negative regulation of non-canonical Wnt signaling pathway
Mcavernosa07361	Coiled-coil domain containing protein (DUF2052)
Mcavernosa02271	DNA replication origin binding
Mcavernosa25611	Histone H1
Mcavernosa01089	xylosyltransferase activity
Mcavernosa07751	peptidase inhibitor activity
Mcavernosa19861	RNA catabolic process
Mcavernosa21610	ligase 1
Mcavernosa12192	RNA recognition motif
Mcavernosa12279	secondary active sulfate transmembrane transporter activity
Mcavernosa23219	protein auto-ADP-ribosylation
Mcavernosa19279	peroxisome localization
Mcavernosa23602	Hairy and enhancer of split-related protein helt
Mcavernosa25819	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Mcavernosa30847	tubulin-glutamic acid ligase activity
Mcavernosa14567	-
Mcavernosa04113	translation activator activity
Mcavernosa30504	fibroblast growth factor-activated receptor activity
Mcavernosa21160	protein transport
Mcavernosa33691	Receptor-type tyrosine-protein phosphatase
Mcavernosa34285	DNA double-strand break processing involved in repair via single-strand annealing
Mcavernosa20568	pyridoxal phosphate binding
Mcavernosa18053	fatty acid alpha-hydroxylase activity
Mcavernosa13098	dynein regulatory complex
Mcavernosa33505	Catalyzes the synthesis of dihydrouridine, a modified base found in the D-loop of most tRNAs
Mcavernosa04914	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway
Mcavernosa12833	protein disulfide isomerase activity
Mcavernosa14101	nucleosome assembly
Mcavernosa10954	cell-matrix adhesion
Mcavernosa07770	cell adhesion
Mcavernosa15423	K6-linked polyubiquitin modification-dependent protein binding
Mcavernosa30097	metalloendopeptidase activity
Mcavernosa20405	helicase activity
Mcavernosa31713	Belongs to the STXBP unc-18 SEC1 family
Mcavernosa13555	Helix-turn-helix of DDE superfamily endonuclease
Mcavernosa03596	Metalloendopeptidase activity. It is involved in the biological process described with proteolysis
Mcavernosa17981	potassium voltage-gated channel
Mcavernosa14145	Protein FAM221A/B
Mcavernosa20773	Beta-lactamase
Mcavernosa24520	beta-endorphin binding
Mcavernosa10933	Belongs to the peptidase S1 family
Mcavernosa05408	negative regulation of cellular pH reduction
Mcavernosa16452	store-operated calcium channel activity
Mcavernosa04900	biological adhesion
Mcavernosa28740	Snf7
Mcavernosa21309	phosphorylase kinase activity
Mcavernosa22564	family, member B
Mcavernosa27614	General transcription factor IIH
Mcavernosa35147	X-ray radiation
Mcavernosa20561	TeTratriCopeptide repeat
Mcavernosa24085	Broad-Complex, Tramtrack and Bric a brac
Mcavernosa30625	Enoyl-(Acyl carrier protein) reductase
Mcavernosa04934	protein depalmitoleylation
Mcavernosa25555	Heat shock 70 kDa protein 12A-like
Mcavernosa17261	Protein tyrosine phosphatase, receptor type
Mcavernosa25045	Nodal homolog
Mcavernosa06751	B-box zinc finger
Mcavernosa05154	cationic amino acid transporter
Mcavernosa11166	LETM1 domain containing 1
Mcavernosa17606	tyrosine-protein kinase
Mcavernosa16006	negative regulation of chemokine (C-X-C motif) ligand 2 production
Mcavernosa12109	Transmembrane protein 131-like
Mcavernosa20710	Poly (ADP-ribose) polymerase
Mcavernosa14433	regulation of Golgi inheritance
Mcavernosa10617	linker protein
Mcavernosa13023	selenocysteine incorporation
Mcavernosa05488	N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity
Mcavernosa05114	stromal interaction molecule
Mcavernosa13580	regulation of ATP citrate synthase activity
Mcavernosa13380	amine sulfotransferase activity
Mcavernosa31619	Tetraspanin family
Mcavernosa25438	Kelch motif
Mcavernosa19111	TORC1 signaling
Mcavernosa30396	fatty acid beta-oxidation using acyl-CoA dehydrogenase
Mcavernosa06799	Golgi vesicle fusion to target membrane
Mcavernosa14817	NHL repeat-containing protein 2
Mcavernosa13763	protein serine/threonine phosphatase activity
Mcavernosa02071	Cytochrome P450, family 46, subfamily A, polypeptide
Mcavernosa33219	cellular response to nitrogen levels
Mcavernosa06598	SCP / Tpx-1 / Ag5 / PR-1 / Sc7 family of extracellular domains.
Mcavernosa17089	regulation of Ral protein signal transduction
Mcavernosa03736	HECT-domain (ubiquitin-transferase)
Mcavernosa30430	calcium-dependent phospholipid binding
Mcavernosa02966	family with sequence similarity 133, member B
Mcavernosa12277	serine threonine-protein kinase
Mcavernosa27543	sodium channel activity
Mcavernosa28099	voltage-gated potassium channel activity
Mcavernosa06137	zinc finger
Mcavernosa17564	calmodulin-lysine N-methyltransferase activity
Mcavernosa10240	phospholipid scrambling
Mcavernosa15494	regulation of podosome assembly
Mcavernosa23152	importin
Mcavernosa17000	Beta-lactamase
Mcavernosa18048	NEDD8 activating enzyme activity
Mcavernosa21073	Von Willebrand factor A
Mcavernosa10032	negative regulation of ERK1 and ERK2 cascade
Mcavernosa27929	Taurine catabolism dioxygenase TauD, TfdA family
Mcavernosa13249	platelet-activating factor acetyltransferase activity
Mcavernosa06369	BCL6 corepressor
Mcavernosa09219	rRNA-processing protein Efg1
Mcavernosa04866	ubiquilin
Mcavernosa06508	Centrosomal protein
Mcavernosa04854	scavenger receptor activity
Mcavernosa02413	lysosomal lumen pH elevation
Mcavernosa27239	Misato 1, mitochondrial distribution and morphology regulator
Mcavernosa18581	RNA-binding domain-containing protein
Mcavernosa13758	detection of mechanical stimulus involved in sensory perception of sound
Mcavernosa15292	marginal zone B cell differentiation
Mcavernosa18068	ATP binding
Mcavernosa14552	nucleic acid binding
Mcavernosa16467	spliceosomal complex assembly
Mcavernosa01493	Protein of unknown function
Mcavernosa13885	Small nuclear ribonucleoprotein
Mcavernosa14638	Mitochondrial ATP synthase epsilon chain
Mcavernosa28769	structural constituent of ribosome
Mcavernosa24808	Bardet-Biedl syndrome 1
Mcavernosa03091	nucleic acid-templated transcription
Mcavernosa26740	calmodulin-dependent protein kinase activity
Mcavernosa11141	DNA binding
Mcavernosa07385	Polynucleotide
Mcavernosa17992	ATP-dependent microtubule motor activity
Mcavernosa12910	The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non- clathrin-coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network. The coatomer complex is required for budding from Golgi membranes, and is essential for the retrograde Golgi-to-ER transport of dilysine-tagged proteins
Mcavernosa12818	DNA binding
Mcavernosa15561	Arrestin domain containing 2
Mcavernosa27285	ITP binding
Mcavernosa32224	Chromosome 10 open reading frame 67
Mcavernosa02639	ATP-dependent peptidase activity
Mcavernosa28183	protein phosphatase 1, regulatory subunit
Mcavernosa07163	It is involved in the biological process described with
Mcavernosa14996	methyltransferase activity
Mcavernosa13572	nucleosome binding
Mcavernosa12925	snRNA processing
Mcavernosa06517	regulation of cardiac muscle cell myoblast differentiation
Mcavernosa16702	L-iduronidase activity
Mcavernosa24473	ATP transmembrane transporter activity
Mcavernosa00836	positive regulation of peptidyl-threonine phosphorylation
Mcavernosa08569	May play a role in anchoring the cytoskeleton to the plasma membrane
Mcavernosa35214	Aminotransferase
Mcavernosa34778	Belongs to the glycosyltransferase 43 family
Mcavernosa03478	Constitutive coactivator of PPAR-gamma-like protein
Mcavernosa05136	Belongs to the mitochondrial carrier (TC 2.A.29) family
Mcavernosa21183	guanine nucleotide exchange factor
Mcavernosa10100	voltage-gated potassium channel activity
Mcavernosa14783	MAP kinase phosphatase activity
Mcavernosa07706	Belongs to the DEAD box helicase family
Mcavernosa24919	cap1 mRNA methylation
Mcavernosa07845	aryl hydrocarbon receptor activity
Mcavernosa01708	SMAD binding
Mcavernosa19634	ATP synthase, H transporting, mitochondrial F0 complex, subunit s
Mcavernosa08891	Dermatopontin
Mcavernosa26655	EP4 subtype prostaglandin E2 receptor binding
Mcavernosa23241	L-tyrosine aminotransferase activity
Mcavernosa09009	cilium disassembly
Mcavernosa11218	Domain of unknown function (DUF4062)
Mcavernosa12337	mediator of RNA polymerase II transcription subunit 12-like
Mcavernosa28040	FAD-dependent monooxygenase required for the C5-ring hydroxylation during ubiquinone biosynthesis. Catalyzes the hydroxylation of 3-polyprenyl-4-hydroxybenzoic acid to 3- polyprenyl-4,5-dihydroxybenzoic acid. The electrons required for the hydroxylation reaction may be funneled indirectly from NADPH via a ferredoxin ferredoxin reductase system to COQ6
Mcavernosa25933	CLIP1 zinc knuckle
Mcavernosa09609	transporter activity
Mcavernosa07261	Exocyst complex component 2
Mcavernosa09371	guanylate kinase activity
Mcavernosa13704	Protein kinase C conserved region 2 (CalB)
Mcavernosa05532	endodermal-mesodermal cell signaling
Mcavernosa31575	DNA replication ATP-dependent helicase nuclease DNA2
Mcavernosa07269	Pleckstrin homology domain containing, family G (with RhoGef domain) member
Mcavernosa12694	Domain present in PSD-95, Dlg, and ZO-1/2.
Mcavernosa18841	protein ubiquitination
Mcavernosa01715	3-ketoacyl-CoA thiolase
Mcavernosa32482	integrator complex subunit 2
Mcavernosa02488	Dihydrodiol dehydrogenase (dimeric)
Mcavernosa28635	Zinc finger CCCH domain-containing protein 10
Mcavernosa00737	acid phosphatase activity
Mcavernosa32503	Failed axon connections homolog
Mcavernosa08853	Leucine Rich repeat
Mcavernosa02993	zinc ion binding
Mcavernosa12759	Presequence protease
Mcavernosa00810	peptidyl-prolyl cis-trans isomerase activity
Mcavernosa34309	5' nucleotidase family
Mcavernosa01036	Functions as component of the Arp2 3 complex which is involved in regulation of actin polymerization and together with an activating nucleation-promoting factor (NPF) mediates the formation of branched actin networks
Mcavernosa23967	calcium-dependent protein serine/threonine kinase activity
Mcavernosa25701	GMC oxidoreductase
Mcavernosa31537	protein kinase activity
Mcavernosa33860	fucose-1-phosphate guanylyltransferase activity
Mcavernosa10070	negative regulation of insulin receptor signaling pathway
Mcavernosa13665	40S ribosomal protein
Mcavernosa18496	cilium movement
Mcavernosa15954	Synaptotagmin
Mcavernosa20306	Coiled-coil domain-containing protein 112
Mcavernosa02604	Diaphanous GTPase-binding Domain
